name,price,price_text,old,old_text,discount,shipping,rating,points,img,url
Cute 3D Chocolate M Beans Nutella Bottle Wireless Bluetooth,"{'min': 32820, 'max': None}","₦ 32,820","{'min': 35580, 'max': None}","₦ 35,580",8,Shipped from abroad,"{'no': None, 'out': 5}",96.82480195003048,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/9213813/1.jpg?2827,https://www.jumia.com.ng/generic-cute-3d-chocolate-m-beans-nutella-bottle-wireless-bluetooth-318312994.html
Nutella 3 Sizes Home Rug Room Carpet Nutella Jar Chocolate Yum Hungry Cute Tumblr Food Cartoon Eat Hangry Retro Doodle Fun,"{'min': 33957, 'max': 44541}","₦ 33,957 - ₦ 44,541","{'min': 45864, 'max': 60123}","₦ 45,864 - ₦ 60,123",26,Shipped from abroad,"{'no': None, 'out': 5}",93.5827664399093,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/3523553/1.jpg?6689,https://www.jumia.com.ng/generic-nutella-3-sizes-home-rug-room-carpet-nutella-jar-chocolate-yum-hungry-cute-tumblr-food-cartoon-eat-hangry-retro-doodle-fun-355325334.html
Personalized Mini Nutella Labels Custom Sticker For Chocolate Spread Child Birthday Wedding Party First Communion Decoration,"{'min': 28056, 'max': None}","₦ 28,056","{'min': 37909, 'max': None}","₦ 37,909",26,Shipped from abroad,"{'no': None, 'out': 5}",88.28777231975681,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/2270183/1.jpg?1598,https://www.jumia.com.ng/generic-personalized-mini-nutella-labels-custom-sticker-for-chocolate-spread-child-birthday-wedding-party-first-communion-decoration-381072266.html
Nutella Print T Shirt Women 90s Harajuku Kawaii  Fashion T_s,"{'min': 36500, 'max': None}","₦ 36,500","{'min': 53600, 'max': None}","₦ 53,600",32,Shipped from abroad,"{'no': None, 'out': 5}",87.0627397260274,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/9105163/1.jpg?6514,https://www.jumia.com.ng/generic-nutella-print-t-shirt-women-90s-harajuku-kawaii-fashion-ts-361501934.html
Nutella Print T Shirt Women 90s Harajuku Kawaii  Fashion T_s,"{'min': 36500, 'max': None}","₦ 36,500","{'min': 53600, 'max': None}","₦ 53,600",32,Shipped from abroad,"{'no': None, 'out': 5}",87.0627397260274,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/2305163/1.jpg?6556,https://www.jumia.com.ng/generic-nutella-print-t-shirt-women-90s-harajuku-kawaii-fashion-ts-361503294.html
Nutella Print T Shirt Women 90s Harajuku Kawaii  Fashion T_s,"{'min': 36500, 'max': None}","₦ 36,500","{'min': 53600, 'max': None}","₦ 53,600",32,Shipped from abroad,"{'no': None, 'out': 5}",87.0627397260274,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/9105163/1.jpg?6515,https://www.jumia.com.ng/generic-nutella-print-t-shirt-women-90s-harajuku-kawaii-fashion-ts-361501910.html
Nutella Print T Shirt Women 90s Harajuku Kawaii  Fashion T_s,"{'min': 36500, 'max': None}","₦ 36,500","{'min': 53600, 'max': None}","₦ 53,600",32,Shipped from abroad,"{'no': None, 'out': 5}",87.0627397260274,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/9105163/1.jpg?6515,https://www.jumia.com.ng/generic-nutella-print-t-shirt-women-90s-harajuku-kawaii-fashion-ts-361501919.html
Nutella Print T Shirt Women 90s Harajuku Kawaii  Fashion T_s,"{'min': 36500, 'max': None}","₦ 36,500","{'min': 53600, 'max': None}","₦ 53,600",32,Shipped from abroad,"{'no': None, 'out': 5}",87.0627397260274,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/9105163/1.jpg?6515,https://www.jumia.com.ng/generic-nutella-print-t-shirt-women-90s-harajuku-kawaii-fashion-ts-361501922.html
Nutella Print T Shirt Women 90s Harajuku Kawaii  Fashion T_s,"{'min': 36500, 'max': None}","₦ 36,500","{'min': 53600, 'max': None}","₦ 53,600",32,Shipped from abroad,"{'no': None, 'out': 5}",87.0627397260274,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/9105163/1.jpg?6514,https://www.jumia.com.ng/generic-nutella-print-t-shirt-women-90s-harajuku-kawaii-fashion-ts-361501930.html
Nutella Print T Shirt Women 90s Harajuku Kawaii  Fashion T_s,"{'min': 36500, 'max': None}","₦ 36,500","{'min': 53600, 'max': None}","₦ 53,600",32,Shipped from abroad,"{'no': None, 'out': 5}",87.0627397260274,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/8105163/1.jpg?6516,https://www.jumia.com.ng/generic-nutella-print-t-shirt-women-90s-harajuku-kawaii-fashion-ts-361501899.html
Nutella Print T Shirt Women 90s Harajuku Kawaii  Fashion T_s,"{'min': 36500, 'max': None}","₦ 36,500","{'min': 53600, 'max': None}","₦ 53,600",32,Shipped from abroad,"{'no': None, 'out': 5}",87.0627397260274,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/9105163/1.jpg?6515,https://www.jumia.com.ng/generic-nutella-print-t-shirt-women-90s-harajuku-kawaii-fashion-ts-361501912.html
Mm's Chocolate Nutella Bottle Tapestry Art Printing Art Science Fiction Room Home Decor Wall Hanging Home Decor,"{'min': 40719, 'max': None}","₦ 40,719","{'min': 54978, 'max': None}","₦ 54,978",26,Shipped from abroad,"{'no': None, 'out': 5}",78.04194602028537,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/8638353/1.jpg?2332,https://www.jumia.com.ng/generic-mms-chocolate-nutella-bottle-tapestry-art-printing-art-science-fiction-room-home-decor-wall-hanging-home-decor-353836876.html
Nutella Hazelnut Sauce Canned Case For Airpods 1 2 Pro 3,"{'min': 24484, 'max': 25038}","₦ 24,484 - ₦ 25,038","{'min': 48970, 'max': 50076}","₦ 48,970 - ₦ 50,076",50,Shipped from abroad,"{'no': None, 'out': 5}",77.04725611195201,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/0397731/1.jpg?5610,https://www.jumia.com.ng/generic-nutella-hazelnut-sauce-canned-case-for-airpods-1-2-pro-3-137793039.html
Mm's Chocolate Nutella Bottle Tapestry Art Printing Art Science Fiction Room Home Decor Wall Hanging Home Decor,"{'min': 41454, 'max': 62916}","₦ 41,454 - ₦ 62,916","{'min': 56007, 'max': 84966}","₦ 56,007 - ₦ 84,966",26,Shipped from abroad,"{'no': None, 'out': 5}",76.65822357311718,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/0738353/1.jpg?2531,https://www.jumia.com.ng/generic-mms-chocolate-nutella-bottle-tapestry-art-printing-art-science-fiction-room-home-decor-wall-hanging-home-decor-353837003.html
Mm's Chocolate Nutella Bottle Tapestry Art Printing Art Science Fiction Room Home Decor Wall Hanging Home Decor,"{'min': 41454, 'max': 72030}","₦ 41,454 - ₦ 72,030","{'min': 56007, 'max': 97314}","₦ 56,007 - ₦ 97,314",26,Shipped from abroad,"{'no': None, 'out': 5}",76.65822357311718,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/4973453/1.jpg?2878,https://www.jumia.com.ng/generic-mms-chocolate-nutella-bottle-tapestry-art-printing-art-science-fiction-room-home-decor-wall-hanging-home-decor-354379433.html
Nutella Cute Bluetooth 3D Wireless Chocolate Beans Bottle M,"{'min': 41904, 'max': None}","₦ 41,904","{'min': 69396, 'max': None}","₦ 69,396",40,Shipped from abroad,"{'no': None, 'out': 5}",75.83500381825125,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/2523313/1.jpg?4143,https://www.jumia.com.ng/nutella-cute-bluetooth-3d-wireless-chocolate-beans-bottle-m-generic-mpg6414952.html
