name,price,price_text,old,old_text,discount,shipping,rating,points,img,url
Therapy Neck Spontaneous Self Heating Headache Massager,"{'min': 21850, 'max': None}","₦ 21,850","{'min': 23000, 'max': None}","₦ 23,000",5,,"{'no': None, 'out': 5}",95.41463883266631,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/0236032/1.jpg?7347,https://www.jumia.com.ng/generic-therapy-neck-spontaneous-self-heating-headache-massager-230632002.html
Neck Stretcher Brace Orthopedic Pillow Collar Pain Relief,"{'min': 19999, 'max': None}","₦ 19,999","{'min': None, 'max': None}",,0,,"{'no': None, 'out': 5}",87.33168704871824,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/6783623/1.jpg?2548,https://www.jumia.com.ng/generic-neck-stretcher-brace-orthopedic-pillow-collar-pain-relief-326387612.html
Neck Stretcher Brace Orthopedic Pillow Collar Pain Relief,"{'min': 19999, 'max': None}","₦ 19,999","{'min': None, 'max': None}",,0,,"{'no': None, 'out': 5}",87.33168704871824,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/4412513/1.jpg?3034,https://www.jumia.com.ng/generic-neck-stretcher-brace-orthopedic-pillow-collar-pain-relief-315214424.html
"Back Muscle Stretcher Posture Corrector Support Back,lumber,neck Massager Spine Relaxer","{'min': 19000, 'max': None}","₦ 19,000","{'min': 20000, 'max': None}","₦ 20,000",5,,"{'no': 5, 'out': 5}",82.96925115884027,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/6937342/1.jpg?1055,https://www.jumia.com.ng/generic-back-muscle-stretcher-posture-corrector-support-backlumberneck-massager-spine-relaxer-243739605.html
Orthopedic Vertebrae Belt Dainely Belts For Lower Back Pain Relief Breathable Back Brace Support Belts DON,"{'min': 27681, 'max': None}","₦ 27,681","{'min': 34601, 'max': None}","₦ 34,601",20,Shipped from abroad,"{'no': 4, 'out': 5}",82.72840576568765,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/6792542/1.jpg?8056,https://www.jumia.com.ng/generic-orthopedic-vertebrae-belt-dainely-belts-for-lower-back-pain-relief-breathable-back-brace-support-belts-don-245297634.html
"Back Muscle Stretcher Support Back,Massager Spine Relaxer","{'min': 17100, 'max': None}","₦ 17,100","{'min': 18000, 'max': None}","₦ 18,000",5,,"{'no': None, 'out': 5}",74.67232604295624,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/1064862/1.jpg?8206,https://www.jumia.com.ng/generic-back-muscle-stretcher-support-backmassager-spine-relaxer-268460170.html
Adjustable Back Support Stretcher Magnetic Posture Corrector,"{'min': 16000, 'max': 18000}","₦ 16,000 - ₦ 18,000","{'min': 18000, 'max': None}","₦ 18,000",11,,"{'no': 4, 'out': 5}",69.86884308112865,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/378528/1.jpg?0550,https://www.jumia.com.ng/generic-adjustable-back-support-stretcher-magnetic-posture-corrector-82587328.html
Universal Neck Stretcher Cervical Brace Traction Devices Collar Pain Relief Orthopedic Pillow,"{'min': 14999, 'max': None}","₦ 14,999","{'min': None, 'max': None}",,0,,"{'no': None, 'out': 5}",65.49767358586553,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/2865552/1.jpg?0270,https://www.jumia.com.ng/generic-universal-neck-stretcher-cervical-brace-traction-devices-collar-pain-relief-orthopedic-pillow-255568268.html
Unisex Adjustable Shoulder Support Posture Corrector Brace Shoulder Pain Relief Brace,"{'min': 14725, 'max': None}","₦ 14,725","{'min': 15500, 'max': None}","₦ 15,500",5,,"{'no': 4, 'out': 5}",64.30116964810121,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/0069062/1.jpg?4813,https://www.jumia.com.ng/generic-unisex-adjustable-shoulder-support-posture-corrector-brace-shoulder-pain-relief-brace-260960074.html
"Back Muscle Stretcher Posture Corrector Support Back,lumber,neck Massager Spine Relaxer","{'min': 14250, 'max': None}","₦ 14,250","{'min': 15000, 'max': None}","₦ 15,000",5,,"{'no': None, 'out': 5}",62.2269383691302,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/3091882/1.jpg?5554,https://www.jumia.com.ng/generic-back-muscle-stretcher-posture-corrector-support-backlumberneck-massager-spine-relaxer-288190315.html
Neck Cervical Orthopedic Collar Pain Relief Neck Brace,"{'min': 12825, 'max': None}","₦ 12,825","{'min': 13500, 'max': None}","₦ 13,500",5,,"{'no': None, 'out': 5}",56.004244532217186,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/1246473/1.jpg?6886,https://www.jumia.com.ng/generic-neck-cervical-orthopedic-collar-pain-relief-neck-brace-374642131.html
Neck Stretcher Cervical Brace Traction Orthopedic Pillow Collar Pain Relief Neck Posture Corrector,"{'min': 12349, 'max': None}","₦ 12,349","{'min': 12999, 'max': None}","₦ 12,999",5,,"{'no': 3, 'out': 5}",53.9256464505536,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/1865552/1.jpg?0318,https://www.jumia.com.ng/generic-neck-stretcher-cervical-brace-traction-orthopedic-pillow-collar-pain-relief-neck-posture-corrector-255568151.html
