name,price,price_text,old,old_text,discount,shipping,rating,points,img,url
Jbl FLIP 6 Waterproof Portable Bluetooth Speaker,"{'min': 157788, 'max': None}","₦ 157,788","{'min': 162000, 'max': None}","₦ 162,000",3,,"{'no': 4, 'out': 5}",79.53299680584075,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/9352461/1.jpg?6205,https://www.jumia.com.ng/flip-6-waterproof-portable-bluetooth-speaker-jbl-mpg7008213.html
Jbl FLIP 5 Waterproof Portable Bluetooth Speaker,"{'min': 159000, 'max': None}","₦ 159,000","{'min': None, 'max': None}",,0,,"{'no': None, 'out': 5}",78.92674528301886,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/6538152/1.jpg?1072,https://www.jumia.com.ng/jbl-flip-5-waterproof-portable-bluetooth-speaker-251835695.html
Jbl FLIP 6 Waterproof Portable Bluetooth Speaker,"{'min': 162000, 'max': None}","₦ 162,000","{'min': None, 'max': None}",,0,,"{'no': 5, 'out': 5}",77.46513888888889,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/2304103/1.jpg?6546,https://www.jumia.com.ng/jbl-flip-6-waterproof-portable-bluetooth-speaker-301403223.html
Jbl FLIP 6 Waterproof Portable Bluetooth Speaker,"{'min': 162000, 'max': None}","₦ 162,000","{'min': None, 'max': None}",,0,,"{'no': 4, 'out': 5}",77.46513888888889,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/7004171/1.jpg?3601,https://www.jumia.com.ng/jbl-flip-6-waterproof-portable-bluetooth-speaker-171400739.html
Jbl Go3 Portable Bluetooth Speaker,"{'min': 95000, 'max': None}","₦ 95,000","{'min': None, 'max': None}",,0,,"{'no': None, 'out': 5}",75.70111685045106,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/7364341/1.jpg?6428,https://www.jumia.com.ng/jbl-go3-portable-bluetooth-speaker-143463773.html
Jbl FLIP 6 Waterproof Portable Bluetooth Speaker - BLACK,"{'min': 173000, 'max': None}","₦ 173,000","{'min': 190000, 'max': None}","₦ 190,000",9,,"{'no': 4, 'out': 5}",72.5396098265896,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/3026871/1.jpg?2437,https://www.jumia.com.ng/jbl-flip-6-waterproof-portable-bluetooth-speaker-black-178620350.html
Jbl Clip 4-Portable Speaker -Black,"{'min': 89999, 'max': None}","₦ 89,999","{'min': None, 'max': None}",,0,,"{'no': None, 'out': 5}",71.71605068867099,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/0973362/1.jpg?0966,https://www.jumia.com.ng/jbl-clip-4-portable-speaker-black-263379010.html
Jbl FLIP 5 Waterproof Portable Bluetooth Speaker - RED,"{'min': 179400, 'max': None}","₦ 179,400","{'min': 200000, 'max': None}","₦ 200,000",10,,"{'no': None, 'out': 5}",69.95179765886287,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/6354691/1.jpg?9581,https://www.jumia.com.ng/flip-5-waterproof-portable-bluetooth-speaker-red-jbl-mpg2437923.html
"Jbl Clip 4 - Portable Mini Bluetooth Speaker,Big Audio And Punchy Bass IP67 Waterproof And Dustproof 10 Hours Of Playtime","{'min': 74099, 'max': None}","₦ 74,099","{'min': 155998, 'max': None}","₦ 155,998",53,,"{'no': 4, 'out': 5}",59.046074289490235,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/7121642/1.jpg?1018,https://www.jumia.com.ng/jbl-clip-4-portable-mini-bluetooth-speakerbig-audio-and-punchy-bass-ip67-waterproof-and-dustproof-10-hours-of-playtime-246121750.html
Jbl Clip4 Speaker Waterproof Portable Bluetooth Speaker - BLACK,"{'min': 74099, 'max': None}","₦ 74,099","{'min': 155998, 'max': None}","₦ 155,998",53,,"{'no': 4, 'out': 5}",59.046074289490235,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/9991722/1.jpg?7893,https://www.jumia.com.ng/jbl-clip4-speaker-waterproof-portable-bluetooth-speaker-black-227199928.html
