name,price,price_text,old,old_text,discount,shipping,rating,points,img,url
Lego Classic Bricks And Functions 11019 Kids Building Kit (500 Pieces),"{'min': 54999, 'max': None}","₦ 54,999","{'min': 72000, 'max': None}","₦ 72,000",24,,"{'no': None, 'out': 5}",98.3785614283896,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/8469531/1.jpg?5466,https://www.jumia.com.ng/lego-classic-bricks-and-functions-11019-kids-building-kit-500-pieces-135964825.html
Lego Marvel Spider-Man 76226 Building Toy - Fully Articulated Action Figure - 258 Pcs,"{'min': 53000, 'max': None}","₦ 53,000","{'min': 74400, 'max': None}","₦ 74,400",29,,"{'no': 3, 'out': 5}",97.95364667103146,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/4622862/1.jpg?3423,https://www.jumia.com.ng/lego-marvel-spider-man-76226-building-toy-fully-articulated-action-figure-258-pcs-268226450.html
Lego Technic Monster Jam Dragon 2in1 Monster Truck 42149 -217 Pcs,"{'min': 52000, 'max': None}","₦ 52,000","{'min': 62800, 'max': None}","₦ 62,800",17,,"{'no': None, 'out': 5}",96.1054646583705,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/0309832/1.jpg?1797,https://www.jumia.com.ng/lego-technic-monster-jam-dragon-2in1-monster-truck-42149-217-pcs-238903029.html
Lego Duplo Classic Brick Box 10913 First Set With Storage Box,"{'min': 50900, 'max': None}","₦ 50,900","{'min': 70800, 'max': None}","₦ 70,800",28,,"{'no': 5, 'out': 5}",94.07246444444341,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/438359/1.jpg?9720,https://www.jumia.com.ng/lego-duplo-classic-brick-box-10913-first-set-with-storage-box-95383406.html
Lego Gabby's Dollhouse Gabby & Mercat’s Ship & Spa 10786 Building Toy,"{'min': 49800, 'max': None}","₦ 49,800","{'min': 58800, 'max': None}","₦ 58,800",15,,"{'no': None, 'out': 5}",92.03946423051636,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/2286682/1.jpg?4250,https://www.jumia.com.ng/lego-gabbys-dollhouse-gabby-mercats-ship-spa-10786-building-toy-286682280.html
Lego Marvel Venom Figure 76230 Fully Articulated Super Villain Action Toy (297 Pieces),"{'min': 59300, 'max': None}","₦ 59,300","{'min': 80400, 'max': None}","₦ 80,400",26,,"{'no': None, 'out': 5}",91.24321247892074,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/9716482/1.jpg?4684,https://www.jumia.com.ng/lego-marvel-venom-figure-76230-fully-articulated-super-villain-action-toy-297-pieces-284617991.html
Lego Classic Creative Suitcase 10713 Building Kit (213 Pieces),"{'min': 48500, 'max': None}","₦ 48,500","{'min': 52800, 'max': None}","₦ 52,800",8,,"{'no': 5, 'out': 5}",89.6368276140571,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/542407/1.jpg?6255,https://www.jumia.com.ng/lego-classic-creative-suitcase-10713-building-kit-213-pieces-70424513.html
Lego Technic Dump Truck 2in1 Toy Building Set 42147,"{'min': 61700, 'max': None}","₦ 61,700","{'min': None, 'max': None}",,0,,"{'no': None, 'out': 5}",87.69404376012966,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/3821462/1.jpg?2282,https://www.jumia.com.ng/lego-technic-dump-truck-2in1-toy-building-set-42147-264128395.html
Lego Lamborghini Countach 76908 Building Set (262 Pieces),"{'min': 45999, 'max': None}","₦ 45,999","{'min': 62400, 'max': None}","₦ 62,400",26,,"{'no': 5, 'out': 5}",85.014524400392,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/6146402/1.jpg?3297,https://www.jumia.com.ng/lego-lamborghini-countach-76908-building-set-262-pieces-204641676.html
Lego Creator 3in1 Off-Road Buggy 31123 Building Kit (160 Pieces),"{'min': 44999, 'max': None}","₦ 44,999","{'min': 62400, 'max': None}","₦ 62,400",28,,"{'no': 5, 'out': 5}",83.16634238773104,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/1236631/1.jpg?1493,https://www.jumia.com.ng/lego-creator-3in1-off-road-buggy-31123-building-kit-160-pieces-136632126.html
Lego City Mobile Crane 60324 Building Kit (340 Pieces),"{'min': 66900, 'max': None}","₦ 66,900","{'min': 90000, 'max': None}","₦ 90,000",26,,"{'no': None, 'out': 5}",80.87776532137518,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/9434412/1.jpg?4962,https://www.jumia.com.ng/lego-city-mobile-crane-60324-building-kit-340-pieces-214434923.html
Lego Friends Recycling Truck 41712 Building Set (259 Pieces),"{'min': 43200, 'max': None}","₦ 43,200","{'min': 62400, 'max': None}","₦ 62,400",31,,"{'no': None, 'out': 5}",79.84146294695394,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/9834412/1.jpg?0331,https://www.jumia.com.ng/lego-friends-recycling-truck-41712-building-set-259-pieces-214438996.html
Lego Classic Creative Suitcase 10713 Building Kit 213 Pieces,"{'min': 42999, 'max': None}","₦ 42,999","{'min': 52800, 'max': None}","₦ 52,800",19,,"{'no': 4, 'out': 5}",79.4699783624091,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/634867/1.jpg?9311,https://www.jumia.com.ng/lego-classic-creative-suitcase-10713-building-kit-213-pieces-76843619.html
Lego City Ice-Cream Truck 60253,"{'min': 42300, 'max': None}","₦ 42,300","{'min': 51600, 'max': None}","₦ 51,600",18,,"{'no': 4, 'out': 5}",78.17809913555907,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/289757/1.jpg?8487,https://www.jumia.com.ng/lego-city-ice-cream-truck-60253-75798236.html
Lego Creator 3in1 Supersonic-Jet 31126 Building Kit (215 Pieces),"{'min': 40999, 'max': None}","₦ 40,999","{'min': 52800, 'max': None}","₦ 52,800",22,,"{'no': 5, 'out': 5}",75.77361433708715,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/8812691/1.jpg?4572,https://www.jumia.com.ng/lego-creator-3in1-supersonic-jet-31126-building-kit-215-pieces-196218817.html
Lego Technic John Deere 9620R 4WD Tractor 42136 (390 Pieces),"{'min': 72500, 'max': None}","₦ 72,500","{'min': 98500, 'max': None}","₦ 98,500",26,,"{'no': None, 'out': 5}",74.6306551724138,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/1934412/1.jpg?1350,https://www.jumia.com.ng/lego-technic-john-deere-9620r-4wd-tractor-42136-390-pieces-214439113.html
Lego NINJAGO Jay’s Lightning Jet EVO 71784 Upgradable Ninja Airplane Building Set,"{'min': 37600, 'max': None}","₦ 37,600","{'min': 52800, 'max': None}","₦ 52,800",29,,"{'no': None, 'out': 5}",69.4916436760525,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/3424403/1.jpg?0681,https://www.jumia.com.ng/lego-ninjago-jays-lightning-jet-evo-71784-upgradable-ninja-airplane-building-set-304424386.html
Lego DREAMZzz Izzie And Bunchu The Bunny 71453 Building,"{'min': 79100, 'max': None}","₦ 79,100","{'min': None, 'max': None}",,0,,"{'no': None, 'out': 5}",68.40357142857142,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/1551462/1.jpg?5789,https://www.jumia.com.ng/lego-dreamzzz-izzie-and-bunchu-the-bunny-71453-building-264155188.html
Lego Disney Mickey Mouse And Minnie Mouse's Camping Trip 10777 (103 Pcs),"{'min': 37000, 'max': None}","₦ 37,000","{'min': 61200, 'max': None}","₦ 61,200",40,,"{'no': None, 'out': 5}",68.38273446845592,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/8031862/1.jpg?2799,https://www.jumia.com.ng/lego-disney-mickey-mouse-and-minnie-mouses-camping-trip-10777-103-pcs-268130813.html
Lego Classic Creative Transparent Bricks 11013 Building Kit 500pc,"{'min': 79500, 'max': None}","₦ 79,500","{'min': 86400, 'max': None}","₦ 86,400",8,,"{'no': None, 'out': 5}",68.05940251572326,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/439757/1.jpg?9768,https://www.jumia.com.ng/lego-classic-creative-transparent-bricks-11013-building-kit-500pc-75793481.html
Lego Creator 3in1 Deep Sea Creatures 31088 (230 Pieces),"{'min': 35999, 'max': None}","₦ 35,999","{'min': 51600, 'max': None}","₦ 51,600",30,,"{'no': 5, 'out': 5}",66.5327042737823,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/851867/1.jpg?2806,https://www.jumia.com.ng/lego-creator-3in1-deep-sea-creatures-31088-230-pieces-76815819.html
Lego City Stuntz The Shark Attack Stunt Challenge 60342 Building Toy Set,"{'min': 82000, 'max': None}","₦ 82,000","{'min': None, 'max': None}",,0,,"{'no': None, 'out': 5}",65.98442073170732,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/5713221/1.jpg?0367,https://www.jumia.com.ng/lego-city-stuntz-the-shark-attack-stunt-challenge-60342-building-toy-set-122317545.html
Lego Speed Champions Mercedes-AMG F1 W12 E Performance & Mercedes-AMG Project One 76909 (564 Pieces),"{'min': 85999, 'max': None}","₦ 85,999","{'min': 117600, 'max': None}","₦ 117,600",27,,"{'no': 5, 'out': 5}",62.91610948964522,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/9325031/1.jpg?2101,https://www.jumia.com.ng/lego-speed-champions-mercedes-amg-f1-w12-e-performance-mercedes-amg-project-one-76909-564-pieces-130523950.html
Lego NINJAGO Kai's Ninja Race Car EVO 71780 2in1 Racing Car Building Toy Set,"{'min': 34000, 'max': None}","₦ 34,000","{'min': 49200, 'max': None}","₦ 49,200",31,,"{'no': None, 'out': 5}",62.83818843047301,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/2425962/1.jpg?7336,https://www.jumia.com.ng/lego-ninjago-kais-ninja-race-car-evo-71780-2in1-racing-car-building-toy-set-269524218.html
