name,price,price_text,old,old_text,discount,shipping,rating,points,img,url
Power Pod ORAIMO FREEPODS Bluetooth Earphone Wireless Earpiece 6D Bass Headset Earbuds Aìrpods,"{'min': 29900, 'max': None}","₦ 29,900","{'min': None, 'max': None}",,0,,"{'no': 5, 'out': 5}",4.7961872909699,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/0986053/1.jpg?3806,https://www.jumia.com.ng/power-pod-oraimo-freepods-bluetooth-earphone-wireless-earpiece-6d-bass-headset-earbuds-airpods-generic-mpg5116657.html
Power Pod ORAIMO FREEPODS Bluetooth Earphones V5 3 Wireless Hearpod Ear Pód / Headphones 5 0 Hear Earpiece Cover Stereo Slide Earpóds Aìrpods Earbuds Pod Earbud,"{'min': 29980, 'max': None}","₦ 29,980","{'min': 37765, 'max': None}","₦ 37,765",21,,"{'no': 5, 'out': 5}",4.783388925950634,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/6975982/1.jpg?5706,https://www.jumia.com.ng/power-pod-oraimo-freepods-bluetooth-earphones-v5-3-wireless-hearpod-ear-pod-headphones-5-0-hear-earpiece-cover-stereo-slide-earpods-airpods-earbuds-pod-earbud-289579665.html
Mniboom Bluetooth Speaker ORAIMO FREEPODS Bluetooth Wireless Earbuds 6D Bluetooth Earpiece Stereo Bass Headphone Display Aìrpods,"{'min': 29999, 'max': None}","₦ 29,999","{'min': 32000, 'max': None}","₦ 32,000",6,,"{'no': 3, 'out': 5}",4.780359345311511,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/177886/1.jpg?5786,https://www.jumia.com.ng/mniboom-bluetooth-speaker-oraimo-freepods-bluetooth-wireless-earbuds-6d-bluetooth-earpiece-stereo-bass-headphone-display-airpods-68877180.html
Oraimo FREEPODS Bluetooth Earphone Wireless Earpóds Fingerprint Touch Control Earbod Earpiece 6D Bass Headset Earbuds Aìrpods,"{'min': 25940, 'max': None}","₦ 25,940","{'min': 32765, 'max': None}","₦ 32,765",21,,"{'no': 4, 'out': 5}",4.522125991938971,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/812738/1.jpg?5782,https://www.jumia.com.ng/oraimo-freepods-bluetooth-earphone-wireless-earpods-fingerprint-touch-control-earbod-earpiece-6d-bass-headset-earbuds-airpods-83721853.html
"BLUETOOTH ZONE ORAIMO FREEPODS Bluetooth Wireless Ear Poď Headphones 6D Stereo Ipods Earpód Earbuds Airpods Ipod For Samsung, Xiaomi, Infinix Tecno Etc V5 3","{'min': 25920, 'max': None}","₦ 25,920","{'min': 39765, 'max': None}","₦ 39,765",35,,"{'no': 4, 'out': 5}",4.5186393874733275,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/0145092/1.jpg?6778,https://www.jumia.com.ng/bluetooth-zone-oraimo-freepods-bluetooth-wireless-ear-pod-headphones-6d-stereo-ipods-earpod-earbuds-airpods-ipod-for-samsung-xiaomi-infinix-tecno-etc-v5-3-290541081.html
Oraimo FREEPODS Wireless Headphones Bluetooth Earbuds 5.0 Fingerprint  Earpóds Touch Earphones Aìrpods Mini In-Ear Sports Running Headset,"{'min': 25800, 'max': None}","₦ 25,800","{'min': None, 'max': None}",,0,,"{'no': 4, 'out': 5}",4.49771976067947,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/5858242/1.jpg?9695,https://www.jumia.com.ng/oraimo-freepods-wireless-headphones-bluetooth-earbuds-5.0-fingerprint-earpods-touch-earphones-airpods-mini-in-ear-sports-running-headset-242858519.html
Oraimo Freepods Aìrpods Bluetooth Air Hear Earbud Wireless Pod Aìrpod Hearpod Pods Earphones Earpóds (Oraimo),"{'min': 24980, 'max': None}","₦ 24,980","{'min': 32900, 'max': None}","₦ 32,900",24,,"{'no': 4, 'out': 5}",4.354768977588106,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/6752852/1.jpg?4379,https://www.jumia.com.ng/oraimo-freepods-airpods-bluetooth-air-hear-earbud-wireless-pod-airpod-hearpod-pods-earphones-earpods-oraimo-258257666.html
Power Pod ORAIMO FREEPODS Bluetooth Earphones 5 3 Wireless Hearpod Ear Pód / Headphones 5 0 Hear Earpiece Cover Stereo Slide Earpóds Aìrpods Earbuds Pod,"{'min': 24970, 'max': None}","₦ 24,970","{'min': 32765, 'max': None}","₦ 32,765",24,,"{'no': 5, 'out': 5}",4.353025675355285,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/3810373/1.jpg?0170,https://www.jumia.com.ng/power-pod-oraimo-freepods-bluetooth-earphones-5-3-wireless-hearpod-ear-pod-headphones-5-0-hear-earpiece-cover-stereo-slide-earpods-airpods-earbuds-pod-373018341.html
"Oraimo Deeper Bass , HD Sound Earphones  Smart Watch, F9 Airpods  Earbuds","{'min': 54324, 'max': None}","₦ 54,324","{'min': 54405, 'max': None}","₦ 54,405",1,Shipped from abroad,"{'no': None, 'out': 5}",2.6398277004638837,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/6434633/1.jpg?8137,https://www.jumia.com.ng/fashion-oraimo-deeper-bass-hd-sound-earphones-smart-watch-f9-airpods-earbuds-336434631.html
"Oraimo Deeper Bass , HD Sound Earphones  Smart Watch, F9 Airpods  Earbuds","{'min': 14999, 'max': None}","₦ 14,999","{'min': 29998, 'max': None}","₦ 29,998",50,Shipped from abroad,"{'no': None, 'out': 5}",2.6147790190089677,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/4468263/1.jpg?4822,https://www.jumia.com.ng/fashion-oraimo-deeper-bass-hd-sound-earphones-smart-watch-f9-airpods-earbuds-362864447.html
