name,price,price_text,old,old_text,discount,shipping,rating,points,img,url
ONEST Whey Protein Isolate 1.8lbs Chocolate Support Strength Gains,"{'min': 67999, 'max': None}","₦ 67,999","{'min': None, 'max': None}",,0,,"{'no': 3, 'out': 5}",98.19265724495948,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/1915413/1.jpg?6014,https://www.jumia.com.ng/onest-whey-protein-isolate-1.8lbs-chocolate-support-strength-gains-314519140.html
ENHANCED Labs- Beef & Egg Protein Powder Supplement,"{'min': 64999, 'max': None}","₦ 64,999","{'min': None, 'max': None}",,0,,"{'no': None, 'out': 5}",97.3475747537911,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/5234092/1.jpg?2397,https://www.jumia.com.ng/enhanced-labs-beef-egg-protein-powder-supplement-290432546.html
Dr.Brian Whey Protein Isolate Powder Chocolate 4lbs (1.62kg),"{'min': 69000, 'max': None}","₦ 69,000","{'min': 70000, 'max': None}","₦ 70,000",1,,"{'no': 5, 'out': 5}",96.76815217391304,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/6418882/1.jpg?8096,https://www.jumia.com.ng/whey-protein-isolate-powder-chocolate-4lbs-1.62kg-dr.brian-mpg4472189.html
"Six Star Whey Protein Plus Powder, Vanilla Cream - 1.81lb","{'min': 69000, 'max': None}","₦ 69,000","{'min': None, 'max': None}",,0,,"{'no': None, 'out': 5}",96.76815217391304,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/7036372/1.jpg?6934,https://www.jumia.com.ng/six-star-whey-protein-plus-powder-vanilla-cream-1.81lb-273630719.html
"Six Star Whey Protein Plus Powder, Triple Chocolate- 2lb","{'min': 70000, 'max': None}","₦ 70,000","{'min': None, 'max': None}",,0,,"{'no': 4, 'out': 5}",95.38574999999999,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/4610432/1.jpg?9261,https://www.jumia.com.ng/six-star-whey-protein-plus-powder-triple-chocolate-2lb-234016474.html
SEEQ Clear Whey Isolate Protein Powder 700G 1.54LB Mango,"{'min': 60999, 'max': None}","₦ 60,999","{'min': None, 'max': None}",,0,,"{'no': 5, 'out': 5}",91.3568626041401,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/8075262/1.jpg?4938,https://www.jumia.com.ng/seeq-clear-whey-isolate-protein-powder-700g-1.54lb-mango-262570894.html
Rule 1 Proteins Rule 1 R1 Clean Gainer 4.93LB,"{'min': 75000, 'max': None}","₦ 75,000","{'min': None, 'max': None}",,0,,"{'no': 5, 'out': 5}",89.02669999999999,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/8622732/1.jpg?2071,https://www.jumia.com.ng/rule-1-proteins-rule-1-r1-clean-gainer-4.93lb-237226899.html
"Body Fortress BF Whey Protein Powder, Cookies N’ Crème, 1.78lb","{'min': 83000, 'max': None}","₦ 83,000","{'min': None, 'max': None}",,0,,"{'no': 5, 'out': 5}",80.44581325301205,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/3982312/1.jpg?9694,https://www.jumia.com.ng/body-fortress-bf-whey-protein-powder-cookies-n-creme-1.78lb-213289340.html
Body Fortress Super Advanced Whey Protein Powder - Vanilla 2Lbs,"{'min': 85000, 'max': None}","₦ 85,000","{'min': 100000, 'max': None}","₦ 100,000",15,,"{'no': 4, 'out': 5}",78.55297058823528,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/2656401/1.jpg?1817,https://www.jumia.com.ng/super-advanced-whey-protein-powder-chocolate-pb-2lb-body-fortress-mpg1578674.html
"Six Star Sixstar Whey Protein Powder, Vanilla Cream","{'min': 85000, 'max': None}","₦ 85,000","{'min': None, 'max': None}",,0,,"{'no': None, 'out': 5}",78.55297058823528,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/1868432/1.jpg?0998,https://www.jumia.com.ng/six-star-sixstar-whey-protein-powder-vanilla-cream-234868133.html
