name,price,price_text,old,old_text,discount,shipping,rating,points,img,url
Sotamia 2pcs 1.75 Inch Mini Portable Sound Speaker 4 Ohm 5w Full Range Audio Speaker Hifi Home Amplifier Loudspeaker For Jbl,"{'min': 49399, 'max': None}","₦ 49,399","{'min': 83984, 'max': None}","₦ 83,984",41,Shipped from abroad,"{'no': None, 'out': 5}",96.60543259389628,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/9445882/1.jpg?0796,https://www.jumia.com.ng/generic-sotamia-2pcs-1.75-inch-mini-portable-sound-speaker-4-ohm-5w-full-range-audio-speaker-hifi-home-amplifier-loudspeaker-for-jbl-288544928.html
Jbl GO3 Portable Speaker Wireless Mini Speaker,"{'min': 50000, 'max': None}","₦ 50,000","{'min': 65000, 'max': None}","₦ 65,000",23,,"{'no': None, 'out': 5}",95.44423529411765,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/0451583/1.jpg?3130,https://www.jumia.com.ng/jbl-go3-portable-speaker-wireless-mini-speaker-385154039.html
Jbl GO3 Portable Jbl Bluetooth Speaker Wireless Mini Speakers PX67 Waterproof Outdoor Bass Speakers,"{'min': 50733, 'max': None}","₦ 50,733","{'min': 82158, 'max': None}","₦ 82,158",38,,"{'no': 4, 'out': 5}",94.0652388919615,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/4005462/1.jpg?3240,https://www.jumia.com.ng/jbl-go3-portable-jbl-bluetooth-speaker-wireless-mini-speakers-px67-waterproof-outdoor-bass-speakers-264500418.html
Jbl GO3 Portable Jbl Bluetooth Speaker Wireless Mini Speaker PX67 Waterproof Outdoor Bass Speakers,"{'min': 51375, 'max': None}","₦ 51,375","{'min': 83198, 'max': None}","₦ 83,198",38,,"{'no': 5, 'out': 5}",92.88976670960355,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/6541362/1.jpg?9562,https://www.jumia.com.ng/jbl-go3-portable-jbl-bluetooth-speaker-wireless-mini-speaker-px67-waterproof-outdoor-bass-speakers-263145691.html
Jbl GO3 Portable Jbl Bluetooth Speaker Wireless Mini Speaker PX67 Waterproof Outdoor Bass Speakers,"{'min': 52272, 'max': None}","₦ 52,272","{'min': 76958, 'max': None}","₦ 76,958",32,,"{'no': 4, 'out': 5}",91.29575613532833,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/0805922/1.jpg?7187,https://www.jumia.com.ng/jbl-go3-portable-jbl-bluetooth-speaker-wireless-mini-speaker-px67-waterproof-outdoor-bass-speakers-229508067.html
Aiyima 2pcs 1.25 Inch Mini Speaker 8 Ohm 3w Neodymium Full Range Audio Speaker Mid-Tweeter Home Amplifier Loudspeaker For Jbl,"{'min': 43420, 'max': None}","₦ 43,420","{'min': 73814, 'max': None}","₦ 73,814",41,Shipped from abroad,"{'no': None, 'out': 5}",90.9850655017528,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/0187882/1.jpg?2233,https://www.jumia.com.ng/generic-aiyima-2pcs-1.25-inch-mini-speaker-8-ohm-3w-neodymium-full-range-audio-speaker-mid-tweeter-home-amplifier-loudspeaker-for-jbl-288781068.html
Jbl GO3 Portable Jbl Bluetooth Speaker Wireless Mini Speakers PX67 Waterproof Outdoor Bass Speakers,"{'min': 52981, 'max': None}","₦ 52,981","{'min': 85798, 'max': None}","₦ 85,798",38,,"{'no': 4, 'out': 5}",90.0740220967117,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/6541362/1.jpg?3219,https://www.jumia.com.ng/jbl-go3-portable-jbl-bluetooth-speaker-wireless-mini-speakers-px67-waterproof-outdoor-bass-speakers-263145695.html
Ghxamp 31mm 1 Inch Full Range Speaker For Jbl On Stage Crystal Speaker Audio Mini Sports Diy 4ohm 2w 2pcs,"{'min': 54375, 'max': None}","₦ 54,375","{'min': 92435, 'max': None}","₦ 92,435",41,Shipped from abroad,"{'no': None, 'out': 5}",87.76481406355646,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/6445882/1.jpg?0713,https://www.jumia.com.ng/generic-ghxamp-31mm-1-inch-full-range-speaker-for-jbl-on-stage-crystal-speaker-audio-mini-sports-diy-4ohm-2w-2pcs-288544601.html
Jbl GO2 Wireless Bluetooth Mini Speaker Outdoor Waterproof,"{'min': 41837, 'max': None}","₦ 41,837","{'min': 55215, 'max': None}","₦ 55,215",24,Shipped from abroad,"{'no': None, 'out': 5}",87.66794531084365,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/5359233/1.jpg?9941,https://www.jumia.com.ng/jbl-go2-wireless-bluetooth-mini-speaker-outdoor-waterproof-generic-mpg5583847.html
Jbl JBLGO3 Wireless Bluetooth HLFL Waterproof Small Audio,"{'min': 39999, 'max': None}","₦ 39,999","{'min': 40000, 'max': None}","₦ 40,000",1,Shipped from abroad,"{'no': 4, 'out': 5}",83.8164816905714,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/591688/1.jpg?0673,https://www.jumia.com.ng/jbl-jblgo3-wireless-bluetooth-hlfl-waterproof-small-audio-88619514.html
Jbl JBLGO3 Wireless Bluetooth HLFL Waterproof Small Audio,"{'min': 39999, 'max': None}","₦ 39,999","{'min': 40000, 'max': None}","₦ 40,000",1,Shipped from abroad,"{'no': 4, 'out': 5}",83.8164816905714,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/071688/1.jpg?8806,https://www.jumia.com.ng/jbl-jblgo3-wireless-bluetooth-hlfl-waterproof-small-audio-88617036.html
Jbl Clip4 Ip67 Waterproof Outdoor Speakers Wireless Mini Stereo,"{'min': 60134, 'max': None}","₦ 60,134","{'min': 132598, 'max': None}","₦ 132,598",55,,"{'no': None, 'out': 5}",79.3596262464809,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/7224692/1.jpg?1535,https://www.jumia.com.ng/jbl-clip4-ip67-waterproof-outdoor-speakers-wireless-mini-stereo-296422703.html
Aiyima 2pcs 1.5 Inch Mini Portable Speaker 4 Ohm 5w Full Range Audio Speaker Neodymium Hifi Loudspeaker Home Audio For Jbl Filp2,"{'min': 65815, 'max': None}","₦ 65,815","{'min': 111890, 'max': None}","₦ 111,890",41,Shipped from abroad,"{'no': None, 'out': 5}",72.50948514329382,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/2998782/1.jpg?6144,https://www.jumia.com.ng/generic-aiyima-2pcs-1.5-inch-mini-portable-speaker-4-ohm-5w-full-range-audio-speaker-neodymium-hifi-loudspeaker-home-audio-for-jbl-filp2-287899285.html
Suitable For Jbljblt220tws Protective Shell Mini Stereo,"{'min': 33700, 'max': None}","₦ 33,700","{'min': 46100, 'max': None}","₦ 46,100",27,Shipped from abroad,"{'no': None, 'out': 5}",70.61715125308773,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/912049/1.jpg?5996,https://www.jumia.com.ng/generic-suitable-for-jbljblt220tws-protective-shell-mini-stereo-94021903.html
100pcs For Jbl Charge Flip 3 Bluetooth Speaker New Female 5 Pin 5pin Type B Micro Mini Usb Charging Port Jack Socket Connector,"{'min': 68503, 'max': None}","₦ 68,503","{'min': 116449, 'max': None}","₦ 116,449",41,Shipped from abroad,"{'no': None, 'out': 5}",69.66427404209863,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/7908833/1.jpg?5535,https://www.jumia.com.ng/generic-100pcs-for-jbl-charge-flip-3-bluetooth-speaker-new-female-5-pin-5pin-type-b-micro-mini-usb-charging-port-jack-socket-connector-338809772.html
100pcs For Jbl Flip 2 Bluetooth Speaker Mini Micro,"{'min': 68537, 'max': None}","₦ 68,537","{'min': 114228, 'max': None}","₦ 114,228",40,Shipped from abroad,"{'no': None, 'out': 5}",69.6297148212773,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/7782263/1.jpg?1833,https://www.jumia.com.ng/generic-100pcs-for-jbl-flip-2-bluetooth-speaker-mini-micro-362287760.html
Jbl Clip4 Ip67 Waterproof Outdoor Speakers Mini Stereo,"{'min': 69159, 'max': None}","₦ 69,159","{'min': 145598, 'max': None}","₦ 145,598",53,,"{'no': None, 'out': 5}",69.00348132138814,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/7409513/1.jpg?5104,https://www.jumia.com.ng/jbl-clip4-ip67-waterproof-outdoor-speakers-mini-stereo-315904714.html
Jbl Clip4 Ip67 Waterproof Outdoor Speakers Mini Stereo,"{'min': 70109, 'max': None}","₦ 70,109","{'min': 145598, 'max': None}","₦ 145,598",52,,"{'no': None, 'out': 5}",68.06846146294887,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/7833073/1.jpg?3099,https://www.jumia.com.ng/jbl-clip4-ip67-waterproof-outdoor-speakers-mini-stereo-370338718.html
50pcs/lot For Jbl Charge 4 Bluetooth Speaker New Female Type C Mini Usb Charging Port Jack Socket Connector,"{'min': 70992, 'max': None}","₦ 70,992","{'min': 120691, 'max': None}","₦ 120,691",41,Shipped from abroad,"{'no': None, 'out': 5}",67.2218244972093,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/1887833/1.jpg?3920,https://www.jumia.com.ng/generic-50pcslot-for-jbl-charge-4-bluetooth-speaker-new-female-type-c-mini-usb-charging-port-jack-socket-connector-338788193.html
Jbl Clip 4 Wireless Bluetooth 5.1 Mini Speakers Clip4 Portable IPX67 Waterproof Outdoor Bass Speakers With Hook 10 Hours Battery,"{'min': 72864, 'max': None}","₦ 72,864","{'min': 129998, 'max': None}","₦ 129,998",44,,"{'no': 4, 'out': 5}",65.49478157534423,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/8505922/1.jpg?7386,https://www.jumia.com.ng/jbl-clip-4-wireless-bluetooth-5.1-mini-speakers-clip4-portable-ipx67-waterproof-outdoor-bass-speakers-with-hook-10-hours-battery-229505870.html
"Jbl Clip 4 - Portable Mini Bluetooth Speaker, Big Audio And Punchy Bass, Integrated Carabiner - (Blue)","{'min': 73976, 'max': None}","₦ 73,976","{'min': 155738, 'max': None}","₦ 155,738",53,,"{'no': None, 'out': 5}",64.51027042156757,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/3221642/1.jpg?9061,https://www.jumia.com.ng/jbl-clip-4-portable-mini-bluetooth-speaker-big-audio-and-punchy-bass-integrated-carabiner-blue-246122348.html
"Jbl Clip 4 - Portable Mini Bluetooth Speaker,Big Audio And Punchy Bass IP67 Waterproof And Dustproof 10 Hours Of Playtime","{'min': 74099, 'max': None}","₦ 74,099","{'min': 155998, 'max': None}","₦ 155,998",53,,"{'no': 4, 'out': 5}",64.40318715105309,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/7121642/1.jpg?1018,https://www.jumia.com.ng/jbl-clip-4-portable-mini-bluetooth-speakerbig-audio-and-punchy-bass-ip67-waterproof-and-dustproof-10-hours-of-playtime-246121750.html
Jbl CLIP 4 Wireless Bluetooth Speaker Clip4 Mini Portable IPX67 Waterproof Outdoor Bass Speakers With Hook 10 Hours Battery,"{'min': 80274, 'max': None}","₦ 80,274","{'min': 129998, 'max': None}","₦ 129,998",38,,"{'no': 5, 'out': 5}",59.449034116972896,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/9305922/1.jpg?9963,https://www.jumia.com.ng/jbl-clip-4-wireless-bluetooth-speaker-clip4-mini-portable-ipx67-waterproof-outdoor-bass-speakers-with-hook-10-hours-battery-229503977.html
Jbl Clip 4 - Portable Mini Bluetooth Speaker Green,"{'min': 85000, 'max': None}","₦ 85,000","{'min': None, 'max': None}",,0,,"{'no': None, 'out': 5}",56.14366782006921,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/5415373/1.jpg?8094,https://www.jumia.com.ng/jbl-clip-4-portable-mini-bluetooth-speaker-green-373514534.html
Rope Small Mesh Bag For JBL PULSE 4 / 3,"{'min': 22040, 'max': None}","₦ 22,040","{'min': 31485, 'max': None}","₦ 31,485",30,Shipped from abroad,"{'no': None, 'out': 5}",46.18403601240515,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/9575162/1.jpg?9469,https://www.jumia.com.ng/generic-rope-small-mesh-bag-for-jbl-pulse-4-3-261575986.html
Rope Small Mesh Bag For JBL PULSE 4 / 3,"{'min': 21560, 'max': None}","₦ 21,560","{'min': 30800, 'max': None}","₦ 30,800",30,Shipped from abroad,"{'no': None, 'out': 5}",45.17821308654514,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/8791463/1.jpg?6337,https://www.jumia.com.ng/generic-rope-small-mesh-bag-for-jbl-pulse-4-3-364197880.html
Rope Small Mesh Bag For JBL PULSE 4 / 3,"{'min': 21560, 'max': None}","₦ 21,560","{'min': 30800, 'max': None}","₦ 30,800",30,Shipped from abroad,"{'no': None, 'out': 5}",45.17821308654514,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/9688192/1.jpg?0836,https://www.jumia.com.ng/generic-rope-small-mesh-bag-for-jbl-pulse-4-3-291886905.html
Rope Small Mesh Bag For JBL PULSE 4 / 3,"{'min': 21560, 'max': None}","₦ 21,560","{'min': 30800, 'max': None}","₦ 30,800",30,Shipped from abroad,"{'no': None, 'out': 5}",45.17821308654514,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/1290862/1.jpg?3206,https://www.jumia.com.ng/generic-rope-small-mesh-bag-for-jbl-pulse-4-3-268092107.html
Rope Small Mesh Bag For JBL PULSE 4 / 3,"{'min': 21180, 'max': None}","₦ 21,180","{'min': 30257, 'max': None}","₦ 30,257",30,Shipped from abroad,"{'no': None, 'out': 5}",44.38193660357264,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/9772552/1.jpg?1403,https://www.jumia.com.ng/generic-rope-small-mesh-bag-for-jbl-pulse-4-3-255277999.html
Rope Small Mesh Bag For JBL PULSE 4 / 3,"{'min': 21180, 'max': None}","₦ 21,180","{'min': 30257, 'max': None}","₦ 30,257",30,Shipped from abroad,"{'no': None, 'out': 5}",44.38193660357264,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/4361062/1.jpg?2933,https://www.jumia.com.ng/generic-rope-small-mesh-bag-for-jbl-pulse-4-3-260163435.html
Rope Small Mesh Bag For JBL PULSE 4 / 3,"{'min': 21180, 'max': None}","₦ 21,180","{'min': 30257, 'max': None}","₦ 30,257",30,Shipped from abroad,"{'no': None, 'out': 5}",44.38193660357264,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/5560152/1.jpg?4954,https://www.jumia.com.ng/generic-rope-small-mesh-bag-for-jbl-pulse-4-3-251065597.html
Rope Small Mesh Bag For JBL PULSE 4 / 3,"{'min': 21040, 'max': None}","₦ 21,040","{'min': 30057, 'max': None}","₦ 30,057",30,Shipped from abroad,"{'no': None, 'out': 5}",44.08857158353014,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/5568382/1.jpg?1953,https://www.jumia.com.ng/generic-rope-small-mesh-bag-for-jbl-pulse-4-3-283865508.html
Rope Small Mesh Bag For PULSE 4 / 3 For JBL PULSE 4 / 3,"{'min': 16860, 'max': None}","₦ 16,860","{'min': 24086, 'max': None}","₦ 24,086",30,Shipped from abroad,"{'no': None, 'out': 5}",35.32953027083261,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/4958262/1.jpg?9109,https://www.jumia.com.ng/generic-rope-small-mesh-bag-for-pulse-4-3-for-jbl-pulse-4-3-262859408.html
Rope Small Mesh Bag For JBL PULSE 4 / 3,"{'min': 14840, 'max': None}","₦ 14,840","{'min': 21299, 'max': None}","₦ 21,299",30,Shipped from abroad,"{'no': None, 'out': 5}",31.096692124505097,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/4268472/1.jpg?1053,https://www.jumia.com.ng/rope-small-mesh-bag-for-jbl-pulse-4-3-generic-mpg5370409.html
