name,price,price_text,old,old_text,discount,shipping,rating,points,img,url
ALagzi 2024 Ladies Fashion Korean Casual Sneakers - Black And White,"{'min': 10900, 'max': None}","₦ 10,900","{'min': 19650, 'max': None}","₦ 19,650",45,,"{'no': 4, 'out': 5}",99.32201834862386,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/7265531/1.jpg?2899,https://www.jumia.com.ng/alagzi-2024-ladies-fashion-korean-casual-sneakers-black-and-white-135562794.html
Kitty2Cool 2024 Ladies Fashion Casual Sneakers - Pink,"{'min': 10238, 'max': None}","₦ 10,238","{'min': 20725, 'max': None}","₦ 20,725",51,,"{'no': 3, 'out': 5}",94.56775754888649,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/6570272/1.jpg?4112,https://www.jumia.com.ng/kitty2cool-2024-ladies-fashion-casual-sneakers-pink-272075679.html
Women's Sneakers - Thick Sole Sequin Sneakers - Black,"{'min': 10100, 'max': None}","₦ 10,100","{'min': 19389, 'max': None}","₦ 19,389",48,,"{'no': 3, 'out': 5}",93.2930602894856,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/2109852/1.jpg?1139,https://www.jumia.com.ng/generic-womens-sneakers-thick-sole-sequin-sneakers-black-258901265.html
ALagzi 2024 Ladies Classic Fashion Casual Shoes Sneakers - Pink,"{'min': 9901, 'max': None}","₦ 9,901","{'min': 19580, 'max': None}","₦ 19,580",49,,"{'no': 4, 'out': 5}",91.45490989368285,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/8265531/1.jpg?7006,https://www.jumia.com.ng/alagzi-2024-ladies-classic-fashion-casual-shoes-sneakers-pink-135562822.html
ALagzi 2024 Womens Casual Socks Shoes Running Sneakers - Black,"{'min': 11900, 'max': None}","₦ 11,900","{'min': 15900, 'max': None}","₦ 15,900",25,,"{'no': 4, 'out': 5}",90.97563025210084,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/629476/1.jpg?1756,https://www.jumia.com.ng/alagzi-2024-womens-casual-socks-shoes-running-sneakers-black-67492646.html
Women Shoes Sneakers Casual Shoes Sport Shoes Running Sneakers,"{'min': 8184, 'max': None}","₦ 8,184","{'min': 12999, 'max': None}","₦ 12,999",37,,"{'no': 3, 'out': 5}",75.5950896444703,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/3153152/1.jpg?0496,https://www.jumia.com.ng/fashion-women-shoes-sneakers-casual-shoes-sport-shoes-running-sneakers-251351365.html
White Classic Sneakers For Ladies,"{'min': 14820, 'max': 15099}","₦ 14,820 - ₦ 15,099","{'min': 16000, 'max': 18000}","₦ 16,000 - ₦ 18,000",17,,"{'no': 4, 'out': 5}",73.0506072874494,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/1680511/1.jpg?4641,https://www.jumia.com.ng/fashion-white-classic-sneakers-for-ladies-115086108.html
Pure White SneakeryhlsgFor All...,"{'min': 14914, 'max': None}","₦ 14,914","{'min': 17000, 'max': 19995}","₦ 17,000 - ₦ 19,995",25,,"{'no': 4, 'out': 5}",72.59018371999464,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/6342982/1.jpg?7759,https://www.jumia.com.ng/fashion-pure-white-sneakeryhlsgfor-all...-289243646.html
Women's Sneakers Air Cushion Breathable Non-Slip Leisure Shoes,"{'min': 7821, 'max': 7992}","₦ 7,821 - ₦ 7,992","{'min': 15000, 'max': None}","₦ 15,000",48,,"{'no': 3, 'out': 5}",72.24208163604622,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/8614272/1.jpg?2180,https://www.jumia.com.ng/fashion-womens-sneakers-air-cushion-breathable-non-slip-leisure-shoes-272416894.html
Ladies Everything Beautiful Unisex Running Sneakers – Easy Wears,"{'min': 14999, 'max': None}","₦ 14,999","{'min': 18999, 'max': None}","₦ 18,999",21,,"{'no': 4, 'out': 5}",72.17881192079471,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/9831752/1.jpg?5436,https://www.jumia.com.ng/ladies-everything-beautiful-unisex-running-sneakers-easy-wears-257138958.html
Ladies Fashion Korean Casual Sneakers,"{'min': 6993, 'max': None}","₦ 6,993","{'min': 13712, 'max': None}","₦ 13,712",49,,"{'no': 4, 'out': 5}",64.59389807964087,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/1829172/1.jpg?0189,https://www.jumia.com.ng/fashion-ladies-fashion-korean-casual-sneakers-271928159.html
ALagzi Mens Casual High-Top Shoes Running Sneakers - Beige,"{'min': 16911, 'max': 18900}","₦ 16,911 - ₦ 18,900","{'min': 26888, 'max': None}","₦ 26,888",37,,"{'no': 4, 'out': 5}",64.01809473124003,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/042576/1.jpg?2247,https://www.jumia.com.ng/alagzi-mens-casual-high-top-shoes-running-sneakers-beige-67524091.html
Ladies Fashionable Rugged Trendy Sneakers For Women,"{'min': 16999, 'max': None}","₦ 16,999","{'min': None, 'max': None}",,0,,"{'no': 4, 'out': 5}",63.686687452203074,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/2536722/1.jpg?4329,https://www.jumia.com.ng/fashionable-rugged-trendy-ladies-sneakers-fashion-mpg3763669.html
Quality Ladies Light Weight Sneakers Shoe-black,"{'min': 17500, 'max': None}","₦ 17,500","{'min': None, 'max': None}",,0,,"{'no': 3, 'out': 5}",61.86342857142857,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/2864942/1.jpg?1547,https://www.jumia.com.ng/light-weight-casual-ladies-sporty-sneakers-flat-platform-shoe-black-fashion-mpg1883745.html
Ladies Everything Women Casual Jogging Sport Shoes - Female Comfortable Sneakers Canvas - Size,"{'min': 6317, 'max': None}","₦ 6,317","{'min': 12000, 'max': None}","₦ 12,000",47,,"{'no': 4, 'out': 5}",58.34972889590896,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/2216452/1.jpg?1636,https://www.jumia.com.ng/ladies-everything-women-casual-jogging-sport-shoes-female-comfortable-sneakers-canvas-size-254612279.html
Ladies Classic Fashion Casual Shoes Sneakers,"{'min': 6293, 'max': None}","₦ 6,293","{'min': 12339, 'max': None}","₦ 12,339",49,,"{'no': 4, 'out': 5}",58.128042416013145,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/5187272/1.jpg?8002,https://www.jumia.com.ng/fashion-ladies-classic-fashion-casual-shoes-sneakers-272781541.html
Ladies Casual Shoes Sneakers,"{'min': 6196, 'max': None}","₦ 6,196","{'min': 12149, 'max': None}","₦ 12,149",49,,"{'no': 3, 'out': 5}",57.2320595597676,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/8102572/1.jpg?7020,https://www.jumia.com.ng/fashion-ladies-casual-shoes-sneakers-275201837.html
ADIDAS Sports Performance  Grand Court Base Women,"{'min': 20597, 'max': 41194}","₦ 20,597 - ₦ 41,194","{'min': 51493, 'max': None}","₦ 51,493",60,,"{'no': 4, 'out': 5}",52.56153808807108,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/149869/1.jpg?9678,https://www.jumia.com.ng/adidas-sports-performance-grand-court-base-women-96894125.html
Ladies Sneakers Shoe,"{'min': 4999, 'max': None}","₦ 4,999","{'min': 5299, 'max': None}","₦ 5,299",6,,"{'no': 3, 'out': 5}",46.17544637496421,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/389107/1.jpg?5772,https://www.jumia.com.ng/fashion-ladies-sneakers-shoe-70198350.html
Women Fashion Sneakers-Violet and Black,"{'min': 4999, 'max': None}","₦ 4,999","{'min': 5627, 'max': None}","₦ 5,627",11,,"{'no': 4, 'out': 5}",46.17544637496421,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/739107/1.jpg?4324,https://www.jumia.com.ng/fashion-women-fashion-sneakers-violet-and-black-70193741.html
Women Shoes Sneakers Laides Shoes,"{'min': 4999, 'max': None}","₦ 4,999","{'min': 5892, 'max': None}","₦ 5,892",15,,"{'no': 3, 'out': 5}",46.17544637496421,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/575277/1.jpg?7889,https://www.jumia.com.ng/fashion-women-shoes-sneakers-laides-shoes-77257524.html
Ladies Breathable  Sports Shoe,"{'min': 4999, 'max': None}","₦ 4,999","{'min': 5435, 'max': None}","₦ 5,435",8,,"{'no': 4, 'out': 5}",46.17544637496421,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/739107/1.jpg?7809,https://www.jumia.com.ng/fashion-ladies-breathable-sports-shoe-70193742.html
Women Sport Sneakers  Shoes,"{'min': 4980, 'max': None}","₦ 4,980","{'min': 5112, 'max': None}","₦ 5,112",3,,"{'no': 4, 'out': 5}",45.999944578380024,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/389107/1.jpg?5772,https://www.jumia.com.ng/fashion-women-sport-sneakers-shoes-70198362.html
