name,price,price_text,old,old_text,discount,shipping,rating,points,img,url
3pcs Water Purifier - Tap,"{'min': 7750, 'max': None}","₦ 7,750","{'min': None, 'max': None}",,0,,"{'no': 3, 'out': 5}",92.54560109860584,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/663466/1.jpg?1689,https://www.jumia.com.ng/generic-3pcs-water-purifier-tap-66436689.html
500ml Temperature Water Bottle Flask Stainless Vacuum Cup,"{'min': 7600, 'max': None}","₦ 7,600","{'min': 8000, 'max': None}","₦ 8,000",5,,"{'no': 3, 'out': 5}",90.75439591605219,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/2440212/1.jpg?1149,https://www.jumia.com.ng/generic-500ml-temperature-water-bottle-flask-stainless-vacuum-cup-212044224.html
LED Digital Thermos Cup Thermos Bottle 500ml - Blue,"{'min': 7400, 'max': None}","₦ 7,400","{'min': 9000, 'max': None}","₦ 9,000",18,,"{'no': 4, 'out': 5}",88.36612233931397,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/6163191/1.jpg?2997,https://www.jumia.com.ng/generic-led-digital-thermos-cup-thermos-bottle-500ml-blue-191361674.html
Manual Drinking Water Dispenser Pump,"{'min': 9499, 'max': None}","₦ 9,499","{'min': 9999, 'max': None}","₦ 9,999",5,,"{'no': 4, 'out': 5}",88.15927992420255,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/3892812/1.jpg?0569,https://www.jumia.com.ng/generic-manual-drinking-water-dispenser-pump-218298384.html
Foldable Electric Bucket Water Pump Water Dispenser,"{'min': 7282, 'max': None}","₦ 7,282","{'min': 14278, 'max': None}","₦ 14,278",49,,"{'no': 4, 'out': 5}",86.95704092903841,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/4939272/1.jpg?1066,https://www.jumia.com.ng/generic-foldable-electric-bucket-water-pump-water-dispenser-272939461.html
2L Large Capacity Time Marked  Water Bottle Straw Cup High Temperature,"{'min': 7190, 'max': None}","₦ 7,190","{'min': 13450, 'max': None}","₦ 13,450",47,,"{'no': 4, 'out': 5}",85.85843508373884,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/8610132/1.jpg?8363,https://www.jumia.com.ng/generic-2l-large-capacity-time-marked-water-bottle-straw-cup-high-temperature-231016813.html
Hot Water Bag With Pouch,"{'min': 6999, 'max': None}","₦ 6,999","{'min': 12000, 'max': None}","₦ 12,000",42,,"{'no': 4, 'out': 5}",83.57763381795384,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/6508882/1.jpg?4606,https://www.jumia.com.ng/generic-hot-water-bag-with-pouch-288805626.html
Stainless Steel Travel Flask Thermal Hot/cold Water. 1Pc,"{'min': 10449, 'max': None}","₦ 10,449","{'min': 10999, 'max': None}","₦ 10,999",5,,"{'no': 3, 'out': 5}",80.1440329218107,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/7626952/1.jpg?3971,https://www.jumia.com.ng/generic-stainless-steel-travel-flask-thermal-hotcold-water.-1pc-259626774.html
"Xun Z Lan 2pcs Water Based Sex Lubricant For Anal, Vaginal- 200ML","{'min': 6649, 'max': None}","₦ 6,649","{'min': 9000, 'max': None}","₦ 9,000",26,,"{'no': 4, 'out': 5}",79.39815505866197,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/8782192/1.jpg?4443,https://www.jumia.com.ng/2pcs-water-based-sex-lubricant-for-anal-vaginal-200ml-xun-z-lan-mpg4397684.html
Tap Water Purifier For Every Home (3),"{'min': 6500, 'max': None}","₦ 6,500","{'min': None, 'max': None}",,0,,"{'no': 4, 'out': 5}",77.618891243992,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/4334221/1.jpg?8628,https://www.jumia.com.ng/generic-tap-water-purifier-for-every-home-3-122433408.html
Rechargeable Automatic Water Dispenser,"{'min': 6500, 'max': None}","₦ 6,500","{'min': None, 'max': None}",,0,,"{'no': 2, 'out': 5}",77.618891243992,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/2414411/1.jpg?4072,https://www.jumia.com.ng/generic-rechargeable-automatic-water-dispenser-114414235.html
1.5 Litre Capacity Water Bottle For Indoor&Outdoor Use/Gym,"{'min': 6300, 'max': None}","₦ 6,300","{'min': 8600, 'max': None}","₦ 8,600",27,,"{'no': 4, 'out': 5}",75.23061766725378,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/404326/1.jpg?9350,https://www.jumia.com.ng/generic-1.5-litre-capacity-water-bottle-for-indooroutdoor-usegym-62340431.html
"3 Pieces Water Bottle:300Ml, 900Ml & 2 Liter Time Marker","{'min': 11800, 'max': None}","₦ 11,800","{'min': 16200, 'max': None}","₦ 16,200",27,,"{'no': 3, 'out': 5}",70.96822033898304,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/1446462/1.jpg?7120,https://www.jumia.com.ng/generic-3-pieces-water-bottle300ml-900ml-2-liter-time-marker-264644155.html
Wireless Electric Barreled Water Pump Intelligent Pressurized Purified Water Automatic Water Pumpin,"{'min': 5791, 'max': None}","₦ 5,791","{'min': 12618, 'max': None}","₦ 12,618",54,,"{'no': 5, 'out': 5}",69.15246141445502,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/6620472/1.jpg?8186,https://www.jumia.com.ng/generic-wireless-electric-barreled-water-pump-intelligent-pressurized-purified-water-automatic-water-pumpin-274026622.html
Bro Toumi 3 In 1 Color Motivational Water Bottle With Stickers,"{'min': 12790, 'max': None}","₦ 12,790","{'min': 19990, 'max': None}","₦ 19,990",36,,"{'no': 4, 'out': 5}",65.47498045347928,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/6122752/1.jpg?8828,https://www.jumia.com.ng/bro-toumi-3-in-1-color-motivational-water-bottle-with-stickers-257221698.html
Kitchen Faucet Filters Adjustable Mode Sprayer,"{'min': 5440, 'max': None}","₦ 5,440","{'min': 8133, 'max': None}","₦ 8,133",33,,"{'no': 5, 'out': 5}",64.96104128727946,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/4763943/1.jpg?2647,https://www.jumia.com.ng/generic-kitchen-faucet-filters-adjustable-mode-sprayer-349367408.html
Automatic Electric Water Dispenser Pump,"{'min': 5290, 'max': None}","₦ 5,290","{'min': 7804, 'max': None}","₦ 7,804",32,,"{'no': 3, 'out': 5}",63.169836104725796,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/415736/1.jpg?0010,https://www.jumia.com.ng/generic-automatic-electric-water-dispenser-pump-63751405.html
3 In 1 Motivational Water Bottle With Time Marker,"{'min': 13400, 'max': None}","₦ 13,400","{'min': 23000, 'max': None}","₦ 23,000",42,,"{'no': 5, 'out': 5}",62.49440298507463,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/3135403/1.jpg?8213,https://www.jumia.com.ng/generic-3-in-1-motivational-water-bottle-with-time-marker-304531332.html
Mythco Automatic Electric Water Pump USB Rechargeable Dispenser,"{'min': 13454, 'max': None}","₦ 13,454","{'min': 23407, 'max': None}","₦ 23,407",43,,"{'no': 4, 'out': 5}",62.24357068529805,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/1120472/1.jpg?4334,https://www.jumia.com.ng/mythco-automatic-electric-water-pump-usb-rechargeable-dispenser-274021188.html
Kiss Water Based Sex Lubricating Gel 120ml. For Sextimacy,"{'min': 4703, 'max': None}","₦ 4,703","{'min': 13200, 'max': None}","₦ 13,200",64,,"{'no': 4, 'out': 5}",56.16025315699913,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/6541862/1.jpg?6896,https://www.jumia.com.ng/kiss-water-based-sex-lubricating-gel-120ml.-for-sextimacy-268145658.html
Outdoor Portable Water Bottle With Medicine Box-600ML-Pink,"{'min': 4701, 'max': None}","₦ 4,701","{'min': 8500, 'max': None}","₦ 8,500",45,,"{'no': 5, 'out': 5}",56.13637042123175,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/3764733/1.jpg?9699,https://www.jumia.com.ng/generic-outdoor-portable-water-bottle-with-medicine-box-600ml-pink-337467385.html
Automatic Electric Water Pump USB Rechargeable Dispenser,"{'min': 4690, 'max': None}","₦ 4,690","{'min': 9722, 'max': None}","₦ 9,722",52,,"{'no': 4, 'out': 5}",56.005015374511146,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/0274722/1.jpg?4135,https://www.jumia.com.ng/generic-automatic-electric-water-pump-usb-rechargeable-dispenser-227472027.html
Automatic Electric Water Pump USB Rechargeable Dispenser,"{'min': 4307, 'max': None}","₦ 4,307","{'min': 8573, 'max': None}","₦ 8,573",50,,"{'no': 4, 'out': 5}",51.431471475057464,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/1757082/1.jpg?2818,https://www.jumia.com.ng/generic-automatic-electric-water-pump-usb-rechargeable-dispenser-280757109.html
Wireless Automatic USB Rechargeable Water Pump Dispenser,"{'min': 4274, 'max': None}","₦ 4,274","{'min': 6000, 'max': None}","₦ 6,000",29,,"{'no': 3, 'out': 5}",51.037406334895664,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/8467413/1.jpg?5127,https://www.jumia.com.ng/generic-wireless-automatic-usb-rechargeable-water-pump-dispenser-314764882.html
Wireless Automatic USB Rechargeable Water Pump Dispenser,"{'min': 4121, 'max': None}","₦ 4,121","{'min': 6000, 'max': None}","₦ 6,000",31,,"{'no': 3, 'out': 5}",49.21037704869093,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/3523102/1.jpg?5408,https://www.jumia.com.ng/wireless-usb-rechargeable-automatic-water-pump-dispenser-generic-mpg4013305.html
Water Based Sex Lubricant For Anal And Vaginal- 200ML,"{'min': 3799, 'max': None}","₦ 3,799","{'min': 5000, 'max': None}","₦ 5,000",24,,"{'no': 4, 'out': 5}",45.3652565901424,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/6982192/1.jpg?6250,https://www.jumia.com.ng/water-based-sex-lubricant-for-anal-and-vaginal-200ml-generic-mpg4815329.html
"Hot - Water Bottle Bag  For Heat Therapy, Pain Relief","{'min': 3799, 'max': None}","₦ 3,799","{'min': 10000, 'max': None}","₦ 10,000",62,,"{'no': 4, 'out': 5}",45.3652565901424,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/322308/1.jpg?1918,https://www.jumia.com.ng/generic-hot-water-bottle-bag-for-heat-therapy-pain-relief-80322349.html
Ceele Water Based Sex Lubricant For Anal And Vaginal- 200ML,"{'min': 3799, 'max': None}","₦ 3,799","{'min': 5000, 'max': None}","₦ 5,000",24,,"{'no': 4, 'out': 5}",45.3652565901424,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/0982192/1.jpg?1795,https://www.jumia.com.ng/ceele-water-based-sex-lubricant-for-anal-and-vaginal-200ml-generic-mpg4801082.html
Hot Water Bottle For Massage,"{'min': 3799, 'max': None}","₦ 3,799","{'min': 6000, 'max': None}","₦ 6,000",37,,"{'no': 4, 'out': 5}",45.3652565901424,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/673467/1.jpg?2711,https://www.jumia.com.ng/generic-hot-water-bottle-for-massage-76437652.html
Reusable Hot Water Bottle Body Massage,"{'min': 3799, 'max': None}","₦ 3,799","{'min': 8000, 'max': None}","₦ 8,000",53,,"{'no': 4, 'out': 5}",45.3652565901424,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/9440622/1.jpg?3782,https://www.jumia.com.ng/generic-reusable-hot-water-bottle-body-massage-226044918.html
Universal Household Tap Water Filter Purifier Six-layer Pink,"{'min': 3273, 'max': None}","₦ 3,273","{'min': 6916, 'max': None}","₦ 6,916",53,,"{'no': 3, 'out': 5}",39.0840970833209,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/2376402/1.jpg?7152,https://www.jumia.com.ng/generic-universal-household-tap-water-filter-purifier-six-layer-pink-204673282.html
Universal Household Tap Water Filter Purifier Six-layer,"{'min': 2780, 'max': None}","₦ 2,780","{'min': 4000, 'max': None}","₦ 4,000",31,,"{'no': 3, 'out': 5}",33.197002716661196,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/0203833/1.jpg?6584,https://www.jumia.com.ng/generic-universal-household-tap-water-filter-purifier-six-layer-338302010.html
Universal Household Tap Water Filter Purifier Six-layer Blue,"{'min': 2736, 'max': None}","₦ 2,736","{'min': 7067, 'max': None}","₦ 7,067",61,,"{'no': 3, 'out': 5}",32.67158252977879,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/3076402/1.jpg?2896,https://www.jumia.com.ng/generic-universal-household-tap-water-filter-purifier-six-layer-blue-204670306.html
Comprehensive Six-Layer Household Tap Water Filter Purifier,"{'min': 2374, 'max': None}","₦ 2,374","{'min': 9000, 'max': None}","₦ 9,000",74,,"{'no': 5, 'out': 5}",28.348807355882617,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/2059533/1.jpg?9983,https://www.jumia.com.ng/generic-comprehensive-six-layer-household-tap-water-filter-purifier-335950263.html
1pc Blue Magic Charcoal Water Filter Sink Faucet 6-Layer,"{'min': 1905, 'max': None}","₦ 1,905","{'min': 3735, 'max': None}","₦ 3,735",49,,"{'no': 4, 'out': 5}",22.748305818431504,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/7411182/1.jpg?8770,https://www.jumia.com.ng/generic-1pc-blue-magic-charcoal-water-filter-sink-faucet-6-layer-281114786.html
Agapeon Tap Water Filter Or Purifier,"{'min': 1810, 'max': None}","₦ 1,810","{'min': 3900, 'max': None}","₦ 3,900",54,,"{'no': 4, 'out': 5}",21.61387586948085,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/7542513/1.jpg?8747,https://www.jumia.com.ng/agapeon-tap-water-filter-or-purifier-315245738.html
"Multi-function Hair/ Flowers, Plants Spray Bottle","{'min': 1673, 'max': None}","₦ 1,673","{'min': 2500, 'max': None}","₦ 2,500",33,,"{'no': 4, 'out': 5}",19.97790846941517,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/4222291/1.jpg?2892,https://www.jumia.com.ng/multi-function-hair-flowers-plants-spray-bottle-fashion-mpg2940841.html
Water Mineral Purifier System Filter Dispenser 20L,"{'min': 42480, 'max': 53410}","₦ 42,480 - ₦ 53,410","{'min': 80720, 'max': 101480}","₦ 80,720 - ₦ 101,480",47,,"{'no': 4, 'out': 5}",19.7133945386064,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/8581822/1.jpg?5924,https://www.jumia.com.ng/generic-water-mineral-purifier-system-filter-dispenser-20l-228185882.html
Tap Water Filter Or Purifier,"{'min': 1565, 'max': None}","₦ 1,565","{'min': 3747, 'max': None}","₦ 3,747",58,,"{'no': 3, 'out': 5}",18.688240737976535,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/3783172/1.jpg?0773,https://www.jumia.com.ng/generic-tap-water-filter-or-purifier-271387375.html
Golden Diamond Electric Hot Water Heater 10 Litres Mini Tank Wall Mount Home Bathroom Shower,"{'min': 70500, 'max': None}","₦ 70,500","{'min': 89843, 'max': None}","₦ 89,843",22,,"{'no': 4, 'out': 5}",11.87836879432624,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/7060653/1.jpg?0889,https://www.jumia.com.ng/golden-diamond-electric-hot-water-heater-10-litres-mini-tank-wall-mount-home-bathroom-shower-356060748.html
