name,price,price_text,old,old_text,discount,shipping,rating,points,img,url
Luster Texturizer Wave And Curl Creme Regular Strength,"{'min': 19900, 'max': None}","₦ 19,900","{'min': None, 'max': None}",,0,,"{'no': 4, 'out': 5}",90.44149310269995,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/958308/1.jpg?1345,https://www.jumia.com.ng/luster-texturizer-wave-and-curl-creme-regular-strength-80385951.html
Luster Texturizer Wave And Curl Creme Maximum  Strength,"{'min': 19500, 'max': None}","₦ 19,500","{'min': None, 'max': None}",,0,,"{'no': 5, 'out': 5}",88.62357364334919,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/958308/1.jpg?3671,https://www.jumia.com.ng/luster-texturizer-wave-and-curl-creme-maximum-strength-80385952.html
Aq General Magic Wave Brush Curved Wave Brush Soft And Hardness Suitable for Afro hair,"{'min': 17780, 'max': None}","₦ 17,780","{'min': 24130, 'max': None}","₦ 24,130",26,Shipped from abroad,"{'no': None, 'out': 5}",80.80651996814096,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/8564482/1.jpg?7172,https://www.jumia.com.ng/aq-general-magic-wave-brush-curved-wave-brush-soft-and-hardness-suitable-for-afro-hair-284465893.html
Magic Wave Brush Curved Wave Brush Soft and Wild,"{'min': 15531, 'max': None}","₦ 15,531","{'min': 24616, 'max': None}","₦ 24,616",37,Shipped from abroad,"{'no': None, 'out': 5}",70.58526780794135,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/2177973/1.jpg?9368,https://www.jumia.com.ng/generic-magic-wave-brush-curved-wave-brush-soft-and-wild-379771221.html
Cantu Wave Whip Curling Mousse -,"{'min': 14000, 'max': None}","₦ 14,000","{'min': None, 'max': None}",,0,,"{'no': None, 'out': 5}",63.627181077276354,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/278217/1.jpg?2567,https://www.jumia.com.ng/cantu-wave-whip-curling-mousse-71287249.html
6styles New Men Mustache Brush Palm Soft Wood Handle Wave Brush Hair Beard Comb Men Boar Hair Bristle Beard Barber Accessorie,"{'min': 12525, 'max': None}","₦ 12,525","{'min': 16867, 'max': None}","₦ 16,867",26,Shipped from abroad,"{'no': None, 'out': 5}",56.92360307092045,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/4126183/1.jpg?9260,https://www.jumia.com.ng/generic-6styles-new-men-mustache-brush-palm-soft-wood-handle-wave-brush-hair-beard-comb-men-boar-hair-bristle-beard-barber-accessorie-381621464.html
Dax Wave And Groom Hair Dressing Pomade,"{'min': 12000, 'max': None}","₦ 12,000","{'min': None, 'max': None}",,0,,"{'no': 3, 'out': 5}",54.53758378052258,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/390977/1.jpg?8714,https://www.jumia.com.ng/wave-and-groom-hair-dressing-pomade-dax-mpg1646976.html
"Leisure Curl Cold Wave,Jelly, Activator, Shining Mist- 4 Pk","{'min': 45000, 'max': None}","₦ 45,000","{'min': None, 'max': None}",,0,,"{'no': 5, 'out': 5}",48.895944444444446,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/937127/1.jpg?8419,https://www.jumia.com.ng/leisure-curl-cold-wavejelly-activator-shining-mist-4-pk-72173926.html
"Luster'S S-Curl 360 Style, Wave Control Pomade 3 Oz","{'min': 10500, 'max': None}","₦ 10,500","{'min': None, 'max': None}",,0,,"{'no': 3, 'out': 5}",47.720385807957264,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/464849/1.jpg?1908,https://www.jumia.com.ng/lusters-s-curl-360-style-wave-control-pomade-3-oz-94846409.html
"Luster'S S-Curl 360 Style, Wave Control Pomade 3 Oz","{'min': 10500, 'max': None}","₦ 10,500","{'min': None, 'max': None}",,0,,"{'no': 2, 'out': 5}",47.720385807957264,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/6728712/1.jpg?0772,https://www.jumia.com.ng/lusters-s-curl-360-style-wave-control-pomade-3-oz-217827611.html
Cantu Natural Hair Wave Whip Curling Mousse,"{'min': 10000, 'max': None}","₦ 10,000","{'min': None, 'max': None}",,0,,"{'no': 5, 'out': 5}",45.44798648376882,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/137847/1.jpg?0844,https://www.jumia.com.ng/wave-whip-curling-mousse-cantu-mpg2423904.html
